model,mechanism,wire,doc,ceiling,n_ok_attempts,mean_merged_associations,mean_merged_aliases,mean_parsed_questions,mean_dropped,mean_duplicates,pct_trials_hit_length
taguru-extract-12b,A1,native,table_noisy,2048,3,8.0,0.0,0.0,5.0,0.0,0.0
taguru-extract-12b,B,native,aliases,2048,3,6.0,1.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,long_dense,2048,2,21.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,B,native,long_dense,unbounded,2,21.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,B,native,negation,2048,3,8.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,output_limit,2048,2,26.0,0.0,0.0,2.0,0.0,0.0
taguru-extract-12b,B,native,output_limit,512,2,8.0,1.0,0.0,0.0,0.0,100.0
taguru-extract-12b,B,native,output_limit,unbounded,2,26.0,0.0,0.0,2.0,0.0,0.0
taguru-extract-12b,B,native,short,2048,3,4.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,table_noisy,2048,3,11.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,aliases,2048,3,6.0,2.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,native,long_dense,2048,2,22.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,long_dense,512,2,8.0,1.0,0.0,0.0,0.0,100.0
taguru-extract-12b,C,native,long_dense,unbounded,2,22.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,negation,2048,3,9.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,output_limit,2048,2,31.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,output_limit,unbounded,2,31.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,short,2048,3,4.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,table_noisy,2048,3,7.0,0.0,0.0,0.0,0.0,0.0
